Categories,Final_Category
TYRE_195/55/R16,TYRE
OTHERS,OTHERS
FRONT BUMPER,BUMPER
BATTERY_35AH_LEFT,BATTERY
CLUTCH SET,CLUTCH KIT
AC COMPRESSOR,COMPRESSOR
TYRE_175/65/R14,TYRE
TAIL LIGHT RHS,TAIL LIGHT
TAIL LIGHT LHS,TAIL LIGHT
BATTERY_40AH_BH_LEFT,BATTERY
TYRE_185/65/R15,TYRE
FRONT BRAKE PAD SET,OTHERS
RADIATOR SUPPORT,RADIATOR
TYRE_165/65/R14,TYRE
TYRE_165/70/R14,TYRE
SVM LHS,MIRROR
TYRE_155/80/R13,TYRE
TYRE_215/60/R16,TYRE
HEAD LIGHT LHS,HEADLIGHT
FRONT WINDSHIELD,WINDSHIELD
REAR SHOCKER (LHS/RHS),SHOCK ABSORBER
CLUTCH DISC,CLUTCH OTHER
TYRE_205/60/R16,TYRE
TYRE_175/65/R15,TYRE
SVM RHS,MIRROR
SILENCER B,OTHERS
TYRE_185/60/R15,TYRE
CLUTCH PRESSURE PLATE,CLUTCH OTHER
TYRE_165/80/R14,TYRE
ENGINE MOUNTING C,ENGINE MOUNTING
BATTERY_45AH_BH_LEFT,BATTERY
HEAD LIGHT RHS,HEADLIGHT
TYRE_215/60/R17,TYRE
REAR BUMPER,BUMPER
TYRE_195/60/R16,TYRE
SVM INDICATOR RHS,MIRROR
STEREO SYSTEM,OTHERS
FRONT SHOCKER (LHS/RHS),SHOCK ABSORBER
REVERSE PARKING SENSOR,SENSOR
TENSIONER PULLEY,PULLEY
FRONT LOWER CONTROL ARM BUSH KIT,CONTROL ARM
FRONT SHOCKER LHS,SHOCK ABSORBER
TYRE_215/65/R16,TYRE
FRONT WHEEL BEARING,WHEEL BEARING
TYRE_185/70/R14,TYRE
FRONT SHOCKER RHS,SHOCK ABSORBER
TYRE_145/80/R12,TYRE
OIL FILTER,OIL FILTER
REAR SHOCKER ASSY (LHS/RHS),SHOCK ABSORBER
ENGINE MOUNTING A,ENGINE MOUNTING
GEAR LEVER KNOB,GEAR LEVER
TYRE_155/65/R14,TYRE
TYRE_175/60/R15,TYRE
BATTERY_50AH_LEFT,BATTERY
SVM INDICATOR LHS,MIRROR
CATALYTIC CONVERTER,CATALYTIC CONVERTER
REAR WHEEL BEARING,WHEEL BEARING
BATTERY_60AH_LEFT,BATTERY
AIR FILTER HOUSING,AIR FILTER
BATTERY_45AH_LEFT,BATTERY
MAIN POWER WINDOW SWITCH,POWER WINDOW SWITCH
FRONT DOOR WEATHERSTRIP RHS (BODY SIDE),WEATHERSTRIP
CLUTCH SLAVE CYLINDER,CLUTCH CYLINDER
BATTERY_44AH_LEFT,BATTERY
AIR FILTER,AIR FILTER
FRONT FENDER LINING LHS,FRONT FENDER
ENGINE V BELT,V BELT
AC FILTER,AC FILTER
TYRE_155/65/R13,TYRE
TYRE_155/70/R13,TYRE
TYRE_235/65/R17,TYRE
FUEL PUMP,OTHERS
AC CONDENSER,OTHERS
DICKEY SHOCKER,SHOCK ABSORBER
FRONT FOG LAMP LHS,FOG LAMP
ENGINE MOUNTING B,ENGINE MOUNTING
AC CONTROL UNIT,AC CONTROL
FRONT FENDER LINING RHS,FRONT FENDER
DICKEY DOOR WEATHERSTRIP,WEATHERSTRIP
FRONT BRAKE DISC (LHS/RHS),BRAKE DISC
TYRE_225/55/R18,TYRE
EVAPORATOR,EVAPORATOR
TYRE_195/65/R15,TYRE
CLUTCH RELEASE BEARING,OTHERS
BATTERY_65AH_RIGHT,BATTERY
TYRE_185/65/R14,TYRE
CLOCK SPRING,OTHERS
WHEEL NUT,OTHERS
AIR BAG MODULE,OTHERS
TYRE_205/65/R16,TYRE
FRONT BUMPER GRILL UPPER,BUMPER
