Categories,Final_Category
TYRE_195/55/R16,TYRES
OTHERS,OTHERS
FRONT BUMPER,BUMPER
BATTERY_35AH_LEFT,BATTERY
CLUTCH SET,CLUTCH KIT
AC COMPRESSOR,AC PARTS
TYRE_175/65/R14,TYRES
TAIL LIGHT RHS,TAIL LIGHT
TAIL LIGHT LHS,TAIL LIGHT
BATTERY_40AH_BH_LEFT,BATTERY
TYRE_185/65/R15,TYRES
FRONT BRAKE PAD SET,BRAKE SYSTEM
RADIATOR SUPPORT,AC PARTS
TYRE_165/65/R14,TYRES
TYRE_165/70/R14,TYRES
SVM LHS,OTHERS
TYRE_155/80/R13,TYRES
TYRE_215/60/R16,TYRES
HEAD LIGHT LHS,HEADLIGHT
FRONT WINDSHIELD,GLASS & WINDSHIELD
REAR SHOCKER (LHS/RHS),SUSPENSION
CLUTCH DISC,CLUTCH PARTS
TYRE_205/60/R16,TYRES
TYRE_175/65/R15,TYRES
SVM RHS,OTHERS
SILENCER B,OTHERS
TYRE_185/60/R15,TYRES
CLUTCH PRESSURE PLATE,CLUTCH PARTS
TYRE_165/80/R14,TYRES
ENGINE MOUNTING C,OTHERS
BATTERY_45AH_BH_LEFT,BATTERY
HEAD LIGHT RHS,HEADLIGHT
TYRE_215/60/R17,TYRES
REAR BUMPER,BUMPER
TYRE_195/60/R16,TYRES
SVM INDICATOR RHS,OTHERS
STEREO SYSTEM,OTHERS
FRONT SHOCKER (LHS/RHS),SUSPENSION
REVERSE PARKING SENSOR,SENSORS
TENSIONER PULLEY,OTHERS
FRONT LOWER CONTROL ARM BUSH KIT,SUSPENSION
FRONT SHOCKER LHS,SUSPENSION
TYRE_215/65/R16,TYRES
FRONT WHEEL BEARING,BEARING & HUB
TYRE_185/70/R14,TYRES
FRONT SHOCKER RHS,SUSPENSION
TYRE_145/80/R12,TYRES
OIL FILTER,FILTERS
REAR SHOCKER ASSY (LHS/RHS),SUSPENSION
ENGINE MOUNTING A,OTHERS
GEAR LEVER KNOB,OTHERS
TYRE_155/65/R14,TYRES
TYRE_175/60/R15,TYRES
BATTERY_50AH_LEFT,BATTERY
SVM INDICATOR LHS,OTHERS
CATALYTIC CONVERTER,OTHERS
REAR WHEEL BEARING,BEARING & HUB
BATTERY_60AH_LEFT,BATTERY
AIR FILTER HOUSING,FILTERS
BATTERY_45AH_LEFT,BATTERY
MAIN POWER WINDOW SWITCH,ELECTRICALS
FRONT DOOR WEATHERSTRIP RHS (BODY SIDE),DOOR PARTS
CLUTCH SLAVE CYLINDER,CLUTCH PARTS
BATTERY_44AH_LEFT,BATTERY
AIR FILTER,FILTERS
FRONT FENDER LINING LHS,OTHERS
ENGINE V BELT,OTHERS
AC FILTER,FILTERS
TYRE_155/65/R13,TYRES
TYRE_155/70/R13,TYRES
TYRE_235/65/R17,TYRES
FUEL PUMP,OTHERS
AC CONDENSER,AC PARTS
DICKEY SHOCKER,SUSPENSION
FRONT FOG LAMP LHS,FOG LAMP
ENGINE MOUNTING B,OTHERS
AC CONTROL UNIT,AC PARTS
FRONT FENDER LINING RHS,OTHERS
DICKEY DOOR WEATHERSTRIP,DOOR PARTS
FRONT BRAKE DISC (LHS/RHS),BRAKE SYSTEM
TYRE_225/55/R18,TYRES
EVAPORATOR,AC PARTS
TYRE_195/65/R15,TYRES
