Categories,Final_Category
TYRE_195/55/R16,TYRES
OTHERS,OTHERS
FRONT BUMPER,BUMPER & PARTS
BATTERY_35AH_LEFT,BATTERY
CLUTCH SET,CLUTCH KIT
AC COMPRESSOR,AC PARTS
TYRE_175/65/R14,TYRES
TAIL LIGHT RHS,TAIL LIGHT
TAIL LIGHT LHS,TAIL LIGHT
BATTERY_40AH_BH_LEFT,BATTERY
TYRE_185/65/R15,TYRES
FRONT BRAKE PAD SET,BRAKE SYSTEM
RADIATOR SUPPORT,RADIATOR SUPPORT
TYRE_165/65/R14,TYRES
TYRE_165/70/R14,TYRES
SVM LHS,SVM
TYRE_155/80/R13,TYRES
TYRE_215/60/R16,TYRES
HEAD LIGHT LHS,HEADLIGHT
FRONT WINDSHIELD,WINDSHIELD
REAR SHOCKER (LHS/RHS),SUSPENSION
CLUTCH DISC,CLUTCH ACCESSORIES
TYRE_205/60/R16,TYRES
TYRE_175/65/R15,TYRES
SVM RHS,SVM
SILENCER B,SILENCER B/C/D
TYRE_185/60/R15,TYRES
CLUTCH PRESSURE PLATE,CLUTCH ACCESSORIES
TYRE_165/80/R14,TYRES
ENGINE MOUNTING C,ENGINE MOUNTING
BATTERY_45AH_BH_LEFT,BATTERY
HEAD LIGHT RHS,HEADLIGHT
TYRE_215/60/R17,TYRES
REAR BUMPER,BUMPER & PARTS
TYRE_195/60/R16,TYRES
SVM INDICATOR RHS,SVM COMPONENT
STEREO SYSTEM,STEREO SYSTEM
FRONT SHOCKER (LHS/RHS),SUSPENSION
REVERSE PARKING SENSOR,SENSORS
TENSIONER PULLEY,PULLEY
FRONT LOWER CONTROL ARM BUSH KIT,BUSH KIT/MOUNT/BOOT
FRONT SHOCKER LHS,SUSPENSION
TYRE_215/65/R16,TYRES
FRONT WHEEL BEARING,BEARING
TYRE_185/70/R14,TYRES
FRONT SHOCKER RHS,SUSPENSION
TYRE_145/80/R12,TYRES
OIL FILTER,FILTERS
REAR SHOCKER ASSY (LHS/RHS),SUSPENSION
ENGINE MOUNTING A,ENGINE MOUNTING
GEAR LEVER KNOB,GEAR LEVER BOOT/KNOB
TYRE_155/65/R14,TYRES
TYRE_175/60/R15,TYRES
BATTERY_50AH_LEFT,BATTERY
SVM INDICATOR LHS,SVM COMPONENT
CATALYTIC CONVERTER,CATALYTIC CONVERTER
REAR WHEEL BEARING,BEARING
BATTERY_60AH_LEFT,BATTERY
AIR FILTER HOUSING,FILTERS
BATTERY_45AH_LEFT,BATTERY
MAIN POWER WINDOW SWITCH,ELECTRICALS
FRONT DOOR WEATHERSTRIP RHS (BODY SIDE),RUBBER & WEATHERSTRIP
CLUTCH SLAVE CYLINDER,CLUTCH ACCESSORIES
BATTERY_44AH_LEFT,BATTERY
AIR FILTER,FILTERS
FRONT FENDER LINING LHS,FENDER LINING
ENGINE V BELT,V BELTS
AC FILTER,FILTERS
TYRE_155/65/R13,TYRES
TYRE_155/70/R13,TYRES
TYRE_235/65/R17,TYRES
FUEL PUMP,FUEL PUMP
AC CONDENSER,AC PARTS
DICKEY SHOCKER,SUSPENSION
FRONT FOG LAMP LHS,FOG LAMP
ENGINE MOUNTING B,ENGINE MOUNTING
AC CONTROL UNIT,AC CONTROL UNIT
FRONT FENDER LINING RHS,FENDER LINING
